Indicator ID, UIS.STAT,AGE,CONTRACT_TYPE,COUNTRY_ORIGIN,Dataflow / Dataset,EDU_ATTAIN,EDU_CAT,EDU_FIELD,EDU_LEVEL,EDU_TYPE,GRADE,IMM_STATUS,INFRASTR,Indicator ID,Indicator Label - EN,Indicator Section,LOCATION,REGION_DEST,SECTOR_EDU,SEX,SE_BKGRD,STAT_UNIT,SUBJECT,TEACH_EXPERIENCE,Table query,Theme,UNIT_MEASURE,WEALTH_QUINTILE,changes in Dec 2018 ,key,short_key
OFSPPT.1.M.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,OFSPPT.1.M.cp,"Out-of-school children of primary school age in pre-primary education, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1._T.M.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1-m-isc1_in_isc02
FOFSPPTP.1,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,FOFSPPTP.1,"Out-of-school children of primary school age in pre-primary education, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L1._T.F.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-1-f-isc1_in_isc02
OFST.2.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,OFST.2.cp,"Out-of-school adolescents of lower secondary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2
OFST.2.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,OFST.2.F.cp,"Out-of-school adolescents of lower secondary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2-f
OFST.2.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,OFST.2.M.cp,"Out-of-school adolescents of lower secondary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2-m
FOFSTP.2,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,FOFSTP.2,"Out-of-school adolescents of lower secondary school age, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L2._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-2-f
OFST.3.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L3,_T,_T,_Z,_Z,OFST.3.cp,"Out-of-school youth of upper secondary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L3._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-3
OFST.3.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L3,_T,_T,_Z,_Z,OFST.3.F.cp,"Out-of-school youth of upper secondary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-3-f
OFST.3.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L3,_T,_T,_Z,_Z,OFST.3.M.cp,"Out-of-school youth of upper secondary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L3._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-3-m
FOFSTP.3,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L3,_T,_T,_Z,_Z,FOFSTP.3,"Out-of-school youth of upper secondary school age, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-3-f
OFST.1t2.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1_2,_T,_T,_Z,_Z,OFST.1t2.cp,"Out-of-school children and adolescents of primary and lower secondary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1_2._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1_2
OFST.1t2.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1_2,_T,_T,_Z,_Z,OFST.1t2.F.cp,"Out-of-school children and adolescents of primary and lower secondary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1_2._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1_2-f
OFST.1t2.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1_2,_T,_T,_Z,_Z,OFST.1t2.M.cp,"Out-of-school children and adolescents of primary and lower secondary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1_2._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1_2-m
FOFSTP.1t2,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1_2,_T,_T,_Z,_Z,FOFSTP.1t2,"Out-of-school children and adolescents of primary and lower secondary school age, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L1_2._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-1_2-f
OFST.2t3.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2_3,_T,_T,_Z,_Z,OFST.2t3.cp,"Out-of-school adolescents and youth of secondary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2_3._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2_3
OFST.2t3.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2_3,_T,_T,_Z,_Z,OFST.2t3.F.cp,"Out-of-school adolescents and youth of secondary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2_3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2_3-f
OFST.2t3.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2_3,_T,_T,_Z,_Z,OFST.2t3.M.cp,"Out-of-school adolescents and youth of secondary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L2_3._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-2_3-m
FOFSTP.2t3,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2_3,_T,_T,_Z,_Z,FOFSTP.2t3,"Out-of-school adolescents and youth of secondary school age,  percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L2_3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-2_3-f
OFST.1t3.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1T3,_T,_T,_Z,_Z,OFST.1t3.cp,"Out-of-school children, adolescents and youth of primary and secondary school age, both sexes (number)",Out-of-school numbers,_T,W00,INST_T,_T,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1T3._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1t3
OFST.1t3.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1T3,_T,_T,_Z,_Z,OFST.1t3.F.cp,"Out-of-school children, adolescents and youth of primary and secondary school age, female (number)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1T3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1t3-f
OFST.1t3.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1T3,_T,_T,_Z,_Z,OFST.1t3.M.cp,"Out-of-school children, adolescents and youth of primary and secondary school age, male (number)",Out-of-school numbers,_T,W00,INST_T,M,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PER,_Z,,OFST.PER.L1T3._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-per-1t3-m
FOFSTP.1t3,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1T3,_T,_T,_Z,_Z,FOFSTP.1t3,"Out-of-school children, adolescents and youth of primary and secondary school age, percentage female (%)",Out-of-school numbers,_T,W00,INST_T,F,_Z,OFST,_Z,_Z,"Out-of-school children, adolescents and youth",Out-of-school children and youth,PT,_Z,,OFST.PT.L1T3._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,ofst-1t3-f
ROFST.1.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.1.cp,"Out-of-school rate for children of primary school age, both sexes (%)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1
ROFST.1.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.1.F.cp,"Out-of-school rate for children of primary school age, female (%)",Out-of-school rates,_T,W00,INST_T,F,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-f
ROFST.1.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.1.M.cp,"Out-of-school rate for children of primary school age, male (%)",Out-of-school rates,_T,W00,INST_T,M,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-m
ROFST.1.GPIA.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.1.GPIA.cp,"Out-of-school rate for children of primary school age, adjusted gender parity index (GPIA)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,GPIA,_Z,,ROFST.GPIA.L1._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-gpia-1
ROFST.AgM1.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.AgM1.cp,"Out-of-school rate for children one year younger than the official entry age to primary education, both sexes (%)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T._T.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-under1_age
ROFST.AgM1.F.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.AgM1.F.cp,"Out-of-school rate for children one year younger than the official entry age to primary education, female (%)",Out-of-school rates,_T,W00,INST_T,F,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.F.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-f-under1_age
ROFST.AgM1.M.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.AgM1.M.cp,"Out-of-school rate for children one year younger than the official entry age to primary education, male (%)",Out-of-school rates,_T,W00,INST_T,M,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.M.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-m-under1_age
ROFST.AgM1.GPIA.cp,YES,UNDER1_AGE,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFST.AgM1.GPIA.cp,"Out-of-school rate for children one year younger than the official entry age to primary education, adjusted gender parity index (GPIA)",Out-of-school rates,_T,W00,INST_T,M,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,GPIA,_Z,,ROFST.GPIA.L1._T.M.UNDER1_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-gpia-1-m-under1_age
ROFSPPT.1.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFSPPT.1.cp,"Out-of-school rate for children of primary school age in pre-primary education, both sexes (%)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T._T.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-isc1_in_isc02
ROFSPPT.1.F.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFSPPT.1.F.cp,"Out-of-school rate for children of primary school age in pre-primary education, female (%)",Out-of-school rates,_T,W00,INST_T,F,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.F.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-f-isc1_in_isc02
ROFSPPT.1.M.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFSPPT.1.M.cp,"Out-of-school rate for children of primary school age in pre-primary education, male (%)",Out-of-school rates,_T,W00,INST_T,M,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L1._T.M.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-1-m-isc1_in_isc02
ROFSPPT.1.GPIA.cp,YES,ISC1_IN_ISC02,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L1,_T,_T,_Z,_Z,ROFSPPT.1.GPIA.cp,"Out-of-school rate for children of primary school age in pre-primary education, adjusted gender parity index (GPIA)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,GPIA,_Z,,ROFST.GPIA.L1._T._T.ISC1_IN_ISC02._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-gpia-1-isc1_in_isc02
ROFST.2.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,ROFST.2.cp,"Out-of-school rate for adolescents of lower secondary school age, both sexes (%)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L2._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-2
ROFST.2.F.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,ROFST.2.F.cp,"Out-of-school rate for adolescents of lower secondary school age, female (%)",Out-of-school rates,_T,W00,INST_T,F,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L2._T.F.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-2-f
ROFST.2.M.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,ROFST.2.M.cp,"Out-of-school rate for adolescents of lower secondary school age, male (%)",Out-of-school rates,_T,W00,INST_T,M,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,PT,_Z,,ROFST.PT.L2._T.M.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-2-m
ROFST.2.GPIA.cp,YES,SCH_AGE_GROUP,_Z,W00,Education: Students and Teachers - v3.0,_Z,_T,_T,L2,_T,_T,_Z,_Z,ROFST.2.GPIA.cp,"Out-of-school rate for adolescents of lower secondary school age, adjusted gender parity index (GPIA)",Out-of-school rates,_T,W00,INST_T,_T,_Z,ROFST,_Z,_Z,"Out-of-school rate for children children, adolescents and youth",Out-of-school children and youth,GPIA,_Z,,ROFST.GPIA.L2._T._T.SCH_AGE_GROUP._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z.W00.W00._Z,rofst-gpia-2
