STAT_UNIT,UNIT_MEASURE,EDU_LEVEL,EDU_CAT,SEX,AGE,GRADE,SECTOR_EDU,EDU_ATTAIN,WEALTH_QUINTILE,LOCATION,EDU_TYPE,EDU_FIELD,SUBJECT,INFRASTR,SE_BKGRD,TEACH_EXPERIENCE,CONTRACT_TYPE,COUNTRY_ORIGIN,REGION_DEST,IMM_STATUS,REF_AREA,TIME_PERIOD,full_sdmx_key,abb_sdmx_key,abb_sdmx_key2
AIR,GPI,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.GPI.L1._T._T._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR.GPI.1....GLAST..............,air-gpi-1-glast
AIR,PT,L1,_T,_T,TH_ENTRY_AGE,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T._T.TH_ENTRY_AGE.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1...TH_ENTRY_AGE.G1..............,air-1-th_entry_age-g1
AIR,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T._T._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1....GLAST..............,air-1-glast
AIR,PT,L1,_T,F,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T.F._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1..F..GLAST..............,air-1-f-glast
AIR,PT,L1,_T,F,TH_ENTRY_AGE,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T.F.TH_ENTRY_AGE.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1..F.TH_ENTRY_AGE.G1..............,air-1-f-th_entry_age-g1
AIR,PT,L1,_T,M,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T.M._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1..M..GLAST..............,air-1-m-glast
AIR,PT,L1,_T,M,TH_ENTRY_AGE,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L1._T.M.TH_ENTRY_AGE.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..1..M.TH_ENTRY_AGE.G1..............,air-1-m-th_entry_age-g1
AIR,PT,L2,C4,F,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4.F._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4.F..GLAST..............,air-2-c4-f-glast
AIR,PT,L2,C4,F,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4.F._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4.F..G1..............,air-2-c4-f-g1
AIR,PT,L2,C4,_T,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4._T._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4...GLAST..............,air-2-c4-glast
AIR,PT,L2,C4,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4._T._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4...G1..............,air-2-c4-g1
AIR,PT,L2,C4,M,_T,GLAST,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4.M._T.GLAST.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4.M..GLAST..............,air-2-c4-m-glast
AIR,PT,L2,C4,M,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2.C4.M._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2.C4.M..G1..............,air-2-c4-m-g1
AIR,PT,L2,_T,F,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2._T.F._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2..F..G1..............,air-2-f-g1
AIR,PT,L2,_T,M,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2._T.M._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2..M..G1..............,air-2-m-g1
AIR,PT,L2,_T,_T,_T,G1,INST_T,_Z,_Z,_T,INIT,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,AIR.PT.L2._T._T._T.G1.INST_T._Z._Z._T.INIT._T._Z._Z._Z._Z._Z..W00._Z,AIR..2....G1..............,air-2-g1
ASER,GPI,L0_1,_T,_T,Y0T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.GPI.L0_1._T._T.Y0T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER.GPI.0_1...Y0T7...............,aser-gpi-0_1-y0t7
ASER,GPI,L0_1,_T,_T,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.GPI.L0_1._T._T.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER.GPI.0_1...Y3T7...............,aser-gpi-0_1-y3t7
ASER,PT,L0_1,_T,F,Y0T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T.F.Y0T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1..F.Y0T7...............,aser-0_1-f-y0t7
ASER,PT,L0_1,_T,F,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T.F.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1..F.Y3T7...............,aser-0_1-f-y3t7
ASER,PT,L0_1,_T,_T,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T._T.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1...Y3T7...............,aser-0_1-y3t7
ASER,PT,L0_1,_T,_T,Y0T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T._T.Y0T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1...Y0T7...............,aser-0_1-y0t7
ASER,PT,L0_1,_T,M,Y0T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T.M.Y0T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1..M.Y0T7...............,aser-0_1-m-y0t7
ASER,PT,L0_1,_T,M,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L0_1._T.M.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..0_1..M.Y3T7...............,aser-0_1-m-y3t7
ASER,PT,_T,_T,M,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.M.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....M.Y6T11...............,aser-m-y6t11
ASER,PT,_T,_T,M,Y12T14,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.M.Y12T14._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....M.Y12T14...............,aser-m-y12t14
ASER,PT,_T,_T,M,Y15T17,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.M.Y15T17._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....M.Y15T17...............,aser-m-y15t17
ASER,PT,_T,_T,F,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.F.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....F.Y6T11...............,aser-f-y6t11
ASER,PT,_T,_T,F,Y12T14,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.F.Y12T14._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....F.Y12T14...............,aser-f-y12t14
ASER,PT,_T,_T,F,Y15T17,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T.F.Y15T17._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER....F.Y15T17...............,aser-f-y15t17
ASER,PT,_T,_T,_T,Y12T14,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T._T.Y12T14._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER.....Y12T14...............,aser-y12t14
ASER,PT,_T,_T,_T,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T._T.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER.....Y6T11...............,aser-y6t11
ASER,PT,_T,_T,_T,Y15T17,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT._T._T._T.Y15T17._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER.....Y15T17...............,aser-y15t17
ASER,PT,L1T3,_T,M,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1T3._T.M.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1T3..M.Y6T11...............,aser-1t3-m-y6t11
ASER,PT,L1T3,_T,_T,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1T3._T._T.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1T3...Y6T11...............,aser-1t3-y6t11
ASER,PT,L1T3,_T,F,Y6T11,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1T3._T.F.Y6T11._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1T3..F.Y6T11...............,aser-1t3-f-y6t11
ASER,PT,L02,_T,_T,TH_ENTRY_GLAST,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L02._T._T.TH_ENTRY_GLAST._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..02...TH_ENTRY_GLAST...............,aser-02-th_entry_glast
ASER,PT,L02,_T,F,TH_ENTRY_GLAST,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L02._T.F.TH_ENTRY_GLAST._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..02..F.TH_ENTRY_GLAST...............,aser-02-f-th_entry_glast
ASER,PT,L02,_T,M,TH_ENTRY_GLAST,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L02._T.M.TH_ENTRY_GLAST._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..02..M.TH_ENTRY_GLAST...............,aser-02-m-th_entry_glast
ASER,PT,L1,_T,M,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1._T.M.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1..M.Y3T7...............,aser-1-m-y3t7
ASER,PT,L1,_T,F,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1._T.F.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1..F.Y3T7...............,aser-1-f-y3t7
ASER,PT,L1,_T,_T,Y3T7,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,ASER.PT.L1._T._T.Y3T7._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,ASER..1...Y3T7...............,aser-1-y3t7
ATTCK,NB,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,,W00,_T,,,ATTCK.NB._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z._Z..W00._T,ATTCK....................,attck
BULLIED_STU,PT,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,HIGH,_Z,_Z,,W00,_T,,,BULLIED_STU.PT._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z.HIGH._Z._Z..W00._T,BULLIED_STU...............HIGH.....,bullied_stu-high
BULLIED_STU,PT,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,NIMM,,,BULLIED_STU.PT._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00.NIMM,BULLIED_STU....................NIMM,bullied_stu-nimm
BULLIED_STU,PT,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.PT._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU....................,bullied_stu
BULLIED_STU,PT,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,IMM,,,BULLIED_STU.PT._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00.IMM,BULLIED_STU....................IMM,bullied_stu-imm
BULLIED_STU,PT,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,LOW,_Z,_Z,,W00,_T,,,BULLIED_STU.PT._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z.LOW._Z._Z..W00._T,BULLIED_STU...............LOW.....,bullied_stu-low
BULLIED_STU,PT,_Z,_Z,M,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.PT._Z._Z.M.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU....M................,bullied_stu-m
BULLIED_STU,PT,_Z,_Z,F,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.PT._Z._Z.F.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU....F................,bullied_stu-f
BULLIED_STU,IPIA,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.IPIA._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU.IPIA...................,bullied_stu-ipia
BULLIED_STU,GPIA,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.GPIA._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU.GPIA...................,bullied_stu-gpia
BULLIED_STU,SESPIA,_Z,_Z,_T,Y11T15,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_T,,,BULLIED_STU.SESPIA._Z._Z._T.Y11T15._Z._Z._Z._Z._Z._Z._Z._Z._Z._T._Z._Z..W00._T,BULLIED_STU.SESPIA...................,bullied_stu-sespia
CCR,PT,L1,_T,M,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCR.PT.L1._T.M._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCR....M................,ccr-m
CCR,PT,L1,_T,F,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCR.PT.L1._T.F._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCR....F................,ccr-f
CCR,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCR.PT.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCR....................,ccr
CCR,GPI,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCR.GPI.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCR.GPI...................,ccr-gpi
CCRE,PT,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCRE.PT.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCRE....................,ccre
CCRE,PT,L1,_T,M,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCRE.PT.L1._T.M._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCRE....M................,ccre-m
CCRE,PT,L1,_T,F,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCRE.PT.L1._T.F._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCRE....F................,ccre-f
CCRE,GPI,L1,_T,_T,_T,GLAST,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,CCRE.GPI.L1._T._T._T.GLAST.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,CCRE.GPI...................,ccre-gpi
CHILD_TRACK_HEALTH,PT,_Z,_Z,_T,Y_LT5,_Z,_Z,_Z,_Z,_T,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_Z,,,CHILD_TRACK_HEALTH.PT._Z._Z._T.Y_LT5._Z._Z._Z._Z._T._Z._Z._Z._Z._T._Z._Z..W00._Z,CHILD_TRACK_HEALTH....................,child_track_health
CHILD_TRACK_LEARN,PT,_Z,_Z,_T,Y_LT5,_Z,_Z,_Z,_Z,_T,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_Z,,,CHILD_TRACK_LEARN.PT._Z._Z._T.Y_LT5._Z._Z._Z._Z._T._Z._Z._Z._Z._T._Z._Z..W00._Z,CHILD_TRACK_LEARN....................,child_track_learn
CHILD_TRACK_PS_WB,PT,_Z,_Z,_T,Y_LT5,_Z,_Z,_Z,_Z,_T,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_Z,,,CHILD_TRACK_PS_WB.PT._Z._Z._T.Y_LT5._Z._Z._Z._Z._T._Z._Z._Z._Z._T._Z._Z..W00._Z,CHILD_TRACK_PS_WB....................,child_track_ps_wb
CHILD_TRACK_T,PT,_Z,_Z,_T,Y_LT5,_Z,_Z,_Z,_Z,_T,_Z,_Z,_Z,_Z,_T,_Z,_Z,,W00,_Z,,,CHILD_TRACK_T.PT._Z._Z._T.Y_LT5._Z._Z._Z._Z._T._Z._Z._Z._Z._T._Z._Z..W00._Z,CHILD_TRACK_T....................,child_track_t
COMP_EDU,YR,_T,_T,_T,TH_ENTRY_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,COMP_EDU.YR._T._T._T.TH_ENTRY_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,COMP_EDU.....TH_ENTRY_AGE...............,comp_edu-th_entry_age
COMP_EDU,YR,_T,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,COMP_EDU.YR._T._T._T._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,COMP_EDU....................,comp_edu
COMP_EDU,YR,_T,_T,_T,TH_END_AGE,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,COMP_EDU.YR._T._T._T.TH_END_AGE._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,COMP_EDU.....TH_END_AGE...............,comp_edu-th_end_age
COMP_EDU,YR,L1T3,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,COMP_EDU.YR.L1T3._T._T._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,COMP_EDU..1T3..................,comp_edu-1t3
COMP_EDU,YR,L02,_T,_T,_T,_T,INST_T,_Z,_Z,_T,_T,_T,_Z,_Z,_Z,_Z,_Z,,W00,_Z,,,COMP_EDU.YR.L02._T._T._T._T.INST_T._Z._Z._T._T._T._Z._Z._Z._Z._Z..W00._Z,COMP_EDU..02..................,comp_edu-02
